Date,Count
01.04.23,895
02.04.23,904
03.04.23,1 492
04.04.23,1 867
05.04.23,3 445
06.04.23,2 289
07.04.23,2 017
08.04.23,1 814
09.04.23,1 901
10.04.23,2 822
11.04.23,2 341
12.04.23,2 692
13.04.23,2 004
14.04.23,2 277
15.04.23,1 734
16.04.23,1 226
17.04.23,1 735
18.04.23,2 394
19.04.23,1 862
20.04.23,2 130
21.04.23,2 376
22.04.23,1 274
23.04.23,1 758
24.04.23,2 242
25.04.23,2 390
26.04.23,2 128
27.04.23,1 962
28.04.23,1 611
29.04.23,1 164
30.04.23,1 165
01.05.23,1 661
02.05.23,2 150
03.05.23,1 868
04.05.23,1 938
05.05.23,1 849
06.05.23,1 536
07.05.23,1 526
08.05.23,2 573
09.05.23,2 401
10.05.23,2 609
11.05.23,2 414
12.05.23,1 774
13.05.23,1 158
14.05.23,1 283
15.05.23,1 917
16.05.23,1 853
17.05.23,1 910
18.05.23,1 999
19.05.23,1 675
20.05.23,1 128
21.05.23,1 256
22.05.23,2 162
23.05.23,2 649
24.05.23,2 321
25.05.23,1 928
26.05.23,1 628
27.05.23,1 085
28.05.23,1 160
29.05.23,1 445
30.05.23,1 972
31.05.23,1 912
01.06.23,2 629
02.06.23,2 525
03.06.23,1 690
04.06.23,1 531
05.06.23,1 901
06.06.23,1 879
07.06.23,1 983
08.06.23,1 920
09.06.23,2 290
10.06.23,1 501
11.06.23,1 098
12.06.23,1 849
13.06.23,1 681
14.06.23,1 617
15.06.23,1 706
16.06.23,2 720
17.06.23,2 015
18.06.23,2 745
19.06.23,2 026
20.06.23,3 221
21.06.23,4 195
22.06.23,1 893
23.06.23,1 772
24.06.23,1 719
25.06.23,1 841
26.06.23,2 046
27.06.23,2 683
28.06.23,2 206
29.06.23,2 362
30.06.23,2 521
,178 416
